Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
61,"Clovia App - Shop Lingerie, Nightwear & Activewear",Purple Panda Fashions Pvt. Ltd.,Shopping,12 MB,4.3,42T,1M+,3+
62,WMall Live Video Shopping App- Big Deals & Offers,WMall Online Shopping - Blitzscale Tech,Shopping,15 MB,4.2,17T,1M+,3+
63,The Derma Co – Science Backed Skincare Solutions,Honasa Consumer Private Limited,Shopping,14 MB,4.4,329,50K+,3+
64,Mirraw: Online Shopping App,Mirraw.com,Shopping,16 MB,4.0,28T,5M+,3+
65,Print Photo - Customize Mobile Cover Phone Case,Online Print Mobile Cover,Shopping,4.7 MB,4.7,39T,1M+,12+
66,Samsung Shop,Samsung Electronics Co. Ltd,Shopping,26 MB,4.5,1L,10M+,3+
67,Otipy: Shop Farm Fresh Fruits & Vegetables Online,Crofarm,Shopping,17 MB,4.1,15T,1M+,3+
68,THE HOUSE OF RARE,THE HOUSE OF RARE,Shopping,12 MB,3.0,1T,100K+,3+
69,IndustryBuying: B2B Ecommerce Industrial Tool Shop,industrybuying,Shopping,13 MB,3.4,4T,1M+,3+
70,"boAt -Buy Awesome Earphones, Headphones, Speakers",Imagine Marketing pvt ltd,Shopping,11 MB,2.8,13T,1M+,3+
71,Lifestyle - Online Shopping For Fashion & Clothing,Landmark Online India Pvt. Ltd.,Shopping,16 MB,3.5,24T,10M+,3+
72,IKEA,Inter IKEA Systems B.V.,Shopping,15 MB,3.9,1L,10M+,3+
73,bbdaily: Online Daily Milk & Grocery Home Delivery,Bigbasket.com,Shopping,8.7 MB,4.3,1L,1M+,3+
74,OnePlus Store,OnePlus Store,Shopping,38 MB,4.5,93T,1M+,3+
75,"PrimeCash PRO Games, ViralNews, Coupons & Shopping",GAMEZONE SOLUTIONS,Shopping,17 MB,4.5,23T,1M+,12+
76,My Forever India,Forever Living Products India,Shopping,14 MB,4.5,12T,1M+,3+
77,"RapidBox: Online fashion shopping app, great deals",TruSource,Shopping,8.2 MB,4.4,13T,1M+,3+
78,Juicy Chemistry,Juicy Chemistry,Shopping,27 MB,4.4,1T,100K+,3+
79,"EyeMyEye : Eyeglasses, Sunglasses & Contact Lenses",EyeMyEye,Shopping,17 MB,4.1,1T,500K+,3+
80,OneCode: Online Earning App,Vistas TechnoLabs Pvt Ltd,Shopping,25 MB,4.2,6T,500K+,3+
