Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
67,Homework App - MCQs for CBSE,the homework app,Education,22 MB,4.3,5T,500K+,3+
68,WhiteHat Jr: Book Live Classes,WhiteHatJr,Education,29 MB,4.4,1L,5M+,3+
69,Toppr - Learning App for Class 5 - 12,Toppr,Education,27 MB,4.3,1L,10M+,3+
70,Seekho - Short learning videos (Made in India),SeekhoApp,Education,12 MB,4.6,2T,500K+,3+
71,"NCERT Books , NCERT Solutions",Mukesh Kaushik,Education,10.0 MB,4.3,2L,5M+,3+
72,RTO Exam: Driving Licence Test,Pavans Group Techsoft Pvt. Ltd.,Education,14 MB,4.6,65T,5M+,3+
73,Simply Piano by JoyTunes,JoyTunes,Education,38 MB,4.4,5L,10M+,3+
74,msvgo: Class 6-12 Learning App,Tercera Venture,Education,14 MB,4.2,12T,1M+,3+
75,"Superbook Kids Bible, Videos & Games (Free App)",The Christian Broadcasting Network (CBN),Education,60 MB,4.7,2L,10M+,3+
76,Cambly - English Teacher,Cambly Inc.,Education,75 MB,3.6,1L,10M+,3+
77,Shaalaa: The Study App,shaalaa.com,Education,690 kB,4.8,14T,1M+,3+
78,LEAD Student App,Leadership Boulevard Private Limited,Education,36 MB,4.1,24T,1M+,3+
79,Piano Academy - Learn Piano,Yokee™,Education,50 MB,4.4,37T,5M+,3+
80,Josh Skills-Spoken English App,Josh Talks,Education,30 MB,4.1,20T,1M+,3+
81,Pathyacharya - Online Learning App | Hindi Medium,Schooglink Private Limited,Education,29 MB,4.2,3T,500K+,3+
82,Oda Class: LIVE Learning App for Class 1-10,Oda Class,Education,29 MB,4.6,36T,1M+,3+
83,Internshala: Internship and fresher job search app,Internshala,Education,6.1 MB,4.3,32T,1M+,3+
84,Coursera,"Coursera, Inc.",Education,20 MB,4.1,1L,10M+,3+
85,Hello English: Learn English,Culture Alley,Education,39 MB,4.5,9L,10M+,3+
86,Nrlm: Vprp,NRLM-MoRD,Education,6.4 MB,3.9,164,100K+,3+
87,Kitty Kate Caring,winkypinky,Education,60 MB,3.9,22T,10M+,3+
88,Kitty Kate Groom and Care,winkypinky,Education,29 MB,3.8,5T,1M+,3+
89,Math Scanner By Photo - Solve My Math Problem,Pic Frame Photo Collage Maker & Picture Editor,Education,32 MB,4.1,56K,5M+,3+
90,"SelfStudys: NCERT Books,NCERT Solution,State Books",SelfStudys,Education,12 MB,4.3,25T,100K+,3+
91,Easy English Dictionary Offline Voice Word Meaning,Keyboard Mania11,Education,26 MB,4.0,10T,1M+,3+
92,Exampur Official - Live Classes Quiz PDF SSC UPSI,Exampur official,Education,17 MB,4.3,85T,1M+,3+
93,MSBTE Exam,VishuMangal Technologies Pvt. Ltd.,Education,9.5 MB,2.9,4T,500K+,3+
