Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
61,"US Stocks, Mutual Funds, FD : INDmoney","INDmoney : US Stocks, Mutual Fund, SIP, FD, Insure",Finance,23 MB,4.4,62T,1M+,3+
62,Tickertape: Analyse & Invest,Tickertape,Finance,11 MB,4.5,34T,1M+,3+
63,Cash PaPa,Edward Adam,Finance,5.8 MB,4.2,33T,5M+,3+
64,Lucky Rupee - Online Loan App,iambuddyrupee,Finance,15 MB,3.9,1T,100K+,3+
65,5ROI Global,5ROI Global,Finance,17 MB,3.8,5T,100K+,3+
66,SkyLoan,Skyloan,Finance,14 MB,3.9,1T,100K+,3+
67,Cash Advance,CashLoji gogo come on,Finance,16 MB,4.7,22T,500K+,3+
68,Jupiter - New Way of Banking,Jupiter - Savings Bank Account. Zero Balance.,Finance,40 MB,4.5,49T,1M+,3+
69,Paisabazaar,Paisabazaar.com,Finance,13 MB,4.4,4L,10M+,3+
70,Instant Personal Loan App - SmartCoin,SmartCoin - Instant Personal Loan App,Finance,22 MB,4.4,1L,5M+,3+
71,IndOASIS - Indian Bank Mobile Banking,Indian Bank,Finance,23 MB,4.2,3L,5M+,3+
72,"5paisa: Stocks, Share Market Trading App, NSE, BSE",5paisa,Finance,24 MB,4.2,3L,5M+,3+
73,"Finserv MARKETS: Loan,Card,UPI",Bajaj Finserv MARKETS,Finance,34 MB,4.3,36T,5M+,3+
74,One Loans - Online Loan App,oneloanscs,Finance,14 MB,4.2,2T,100K+,3+
75,Insta Savings & Salary Account,HDFC Bank,Finance,14 MB,3.6,3T,1M+,3+
76,Unocoin Indian Crypto Exchange,Unocoin Technologies,Finance,8.8 MB,4.2,19T,1M+,3+
77,IDFC FIRST Bank: Instant Loans,IDFC FIRST Bank Limited,Finance,16 MB,4.3,2L,5M+,3+
78,MinuteCash,Weekline Investment and Trading Company Ltd,Finance,6.6 MB,4.3,1T,100K+,3+
79,HDFC Securities: Trade Stocks,HDFC Securities Ltd,Finance,16 MB,4.0,91T,1M+,3+
80,CANDI - Mobile Banking App !,CANARA BANK,Finance,62 MB,4.0,2L,10M+,3+
81,HomeCredit–Personal Loan,Home Credit India Finance Private Limited,Finance,51 MB,4.3,3L,10M+,3+
82,Mobile Loans,Indi Cash,Finance,5.6 MB,3.9,18T,5M+,3+
83,Lucky Option,lucky option tech,Finance,7.6 MB,3.7,144,50K+,3+
84,FamPay-Card Payments for Teens,FamPay,Finance,14 MB,4.2,1L,1M+,3+
85,1 Minute Me Aadhar Loan - आधार कार्ड पे लोन गाइड,Cloud Loan Zone,Finance,8.6 MB,3.9,192,50K+,3+
86,Mobile Rupee,Mobile Rupee,Finance,4.2 MB,3.3,21T,5M+,3+
87,Bajaj Finserv Wallet,Bajaj Finance Limited,Finance,24 MB,4.1,4L,10M+,3+
88,smallcase - Invest in Ideas,smallcase,Finance,16 MB,4.6,54T,1M+,3+
89,G option – Mobile Trading App,goption,Finance,9.8 MB,4.3,3T,500K+,3+
90,OK Trade – Mobile Trading,oktrade,Finance,8.9 MB,4.1,1T,500K+,3+
91,Cash Loans,Cash Loans ps,Finance,4.4 MB,3.6,18T,5M+,3+
92,ZebPay Crypto Exchange,ZEBRUARY TECHNOLOGIES PTE. LTD.,Finance,11 MB,4.1,1L,5M+,3+
93,"Binance: Buy Bitcoin, Cryptocurrency Securely",Binance Inc.,Finance,166 MB,4.3,5L,10M+,3+
94,EasyLoan,Aurora Credits Limited,Finance,8.4 MB,4.6,2T,100K+,3+
95,"Paytm Money - Stocks, MF & IPO",Paytm - One97 Communications Ltd.,Finance,32 MB,4.0,1L,10M+,3+
96,PNB ONE,PNB,Finance,45 MB,4.3,1L,10M+,3+
97,SBI Card,SBI Cards and Payment Services Limited,Finance,70 MB,4.4,9L,10M+,3+
98,CASHe Personal Loan App,CASHe,Finance,30 MB,4.4,1L,5M+,3+
99,"Espresso - Stocks, F&O, Demat",EspressoApp,Finance,16 MB,4.4,2T,1M+,3+
100,KOKO Loan-reliable rupee cash,Navcarry Tech Private Limited,Finance,15 MB,4.4,3T,100K+,18+
101,StashFin - Credit Line & Loan,EQX Analytics Pvt Ltd -StashFin Credit Line & Loan,Finance,18 MB,3.7,1L,1M+,3+
102,CashCup,Weekline Investment and Trading Co. Ltd.,Finance,6.4 MB,4.1,194,50K+,3+
103,LIC Customer,LIFE INSURANCE CORPORATION OF INDIA,Finance,18 MB,3.6,89T,10M+,3+
104,Rich Cash - Personal fast loan online application,SAIJA FINANCE PRIVATE LIMITED,Finance,7.4 MB,3.5,4T,500K+,3+
105,IIFL Securities Online Trading,IIFL Finance Limited,Finance,18 MB,4.3,1L,5M+,3+
106,AG Loan-Mobile Online Cash,Aulrcial Tech Private Limited,Finance,9.8 MB,4.6,2T,100K+,18+
107,Compare & Buy Insurance – Policybazaar,Policybazaar - Buy Insurance Online,Finance,15 MB,4.3,1L,10M+,3+
108,LazyPay- Pay Later | Credit Score | Credit via UPI,PayU Finance (India) Private Limited,Finance,34 MB,4.4,1L,5M+,3+
109,PayPal,PayPal Mobile,Finance,46 MB,3.8,23L,100M+,3+
110,Snapmint: Shop on EMI without credit card,Snapmint Financial Services Private Limited,Finance,29 MB,4.3,30T,1M+,3+
111,Huobi Global: Buy BTC & SHIB,Huobi Pro,Finance,106 MB,4.2,26T,5M+,3+
112,Canara e-Passbook,CANARA BANK,Finance,11 MB,4.6,53T,1M+,3+
113,"MetaMask - Buy, Send and Swap Crypto",ConsenSys,Finance,31 MB,4.3,44T,10M+,3+
114,"PayNearby - Aadhaar ATM, DMT",Nearby Technologies,Finance,58 MB,4.1,1L,5M+,3+
115,Loan App for Instant Personal Loan Online - NIRA,NIRA - Instant Personal Loan App,Finance,19 MB,4.4,91T,1M+,3+
116,"Spend Less, Save & Earn Cash",Wizely,Finance,21 MB,4.3,50T,1M+,3+
117,Moneycontrol - Share Market | News | Portfolio,Network18,Finance,25 MB,4.0,3L,10M+,3+
118,CashBean - Personal Loan by PC Financial,P C Financial Services Private Limited.,Finance,9.8 MB,3.9,13L,10M+,3+
119,Branch Personal Loan App,Branch International,Finance,8.1 MB,4.5,5L,10M+,3+
120,Cash Advance,mrcashgoodplayer,Finance,17 MB,4.8,18T,500K+,3+
121,Buddy Loan: Personal Loan,Bvalue Services Pvt. Ltd.,Finance,33 MB,4.4,6L,1M+,3+
122,"Freecharge - UPI, Pay Later",Freecharge,Finance,29 MB,3.9,11L,10M+,3+
123,LoanSathi-Personal loan App,KEMEX ENGINEERING PVT LTD,Finance,12 MB,4.2,3T,100K+,3+
124,FlexSalary Instant Loan App,Vivifi India Finance Pvt Ltd,Finance,27 MB,4.4,30T,1M+,3+
125,EPF Balance Check PF Claim PassBook Activate UAN,Android Adopter,Finance,4.8 MB,4.6,7T,1M+,3+
126,PaySense: Personal Loan App,PaySense Services India Private Limited,Finance,23 MB,4.2,88T,5M+,3+
127,Instant Personal Loan App,Social Worth Technologies Pvt. Ltd.,Finance,10 MB,4.5,1L,5M+,3+
128,ExpertOption - Mobile Trading,ExpertOption,Finance,21 MB,4.0,2L,10M+,3+
129,Cash Star - Credit Online,servicecashstar,Finance,14 MB,4.3,2T,100K+,3+
130,Bellon Loan,Charms mars Tech Private Limited,Finance,15 MB,4.5,504,10K+,18+
131,"ICICIdirect Markets - Stocks, IPOs, F&O Trading",ICICI SECURITIES LTD,Finance,35 MB,4.2,4T,100K+,3+
132,CredExpress - Easy Online Loan,Golden Credit Financial Technology Private Limited,Finance,14 MB,4.2,1T,100K+,3+
133,Fast Rupee - Online Loan App,Gudang maker,Finance,15 MB,4.7,19T,500K+,3+
134,Share Market Demat MO Investor,Motilal Oswal Financial Services Ltd.,Finance,12 MB,4.0,51T,1M+,3+
135,Bus Rupee - Online Loan App,busrupeeapp,Finance,15 MB,4.6,996,100K+,3+
136,IDFC FIRST Bank Mobile App,IDFC FIRST Bank Ltd.,Finance,70 MB,4.5,31T,1M+,3+
137,TradingView - Chart Markets,TradingView Inc.,Finance,26 MB,4.7,1L,10M+,3+
138,Me Credit,Chiranjeevi Panjanathan,Finance,4.0 MB,4.0,509,100K+,3+
139,IndusMobile: Digital Banking,IndusInd Bank Ltd.,Finance,46 MB,4.2,2L,5M+,3+
140,Freo Pay - Pay Later App,Freo,Finance,31 MB,3.8,33T,500K+,3+
141,Bank Balance Check - All Account Enquiry,AppLabZ,Finance,3.1 MB,4.3,30T,10M+,3+
142,V Option - Online Trading App,V Option,Finance,5.0 MB,4.6,30T,1M+,3+
143,PayRupik Instant Personal Loan,Sayyam Investments Pvt Ltd,Finance,18 MB,4.3,11T,100K+,3+
144,OB Cash Loan,Laisa Tech Private Limited,Finance,12 MB,4.5,2T,50K+,18+
145,"Credit Score,Loans,CreditCard",BankBazaar.com,Finance,9.7 MB,4.3,1L,5M+,3+
146,Cash Guru-Rupee cash loan,Cash Guru,Finance,15 MB,3.8,60,10K+,3+
147,Flash Trade-Easy to trade,Flash Trade Mobile Trading,Finance,22 MB,3.9,7T,1M+,3+
148,"ET Money: SIP, Mutual Fund App",Times Internet Limited,Finance,25 MB,4.5,1L,5M+,3+
149,"Dhan - Demat, Stocks, F&O, IPO",Raise Financial Services,Finance,30 MB,4.0,480,100K+,3+
150,ONEOP - Mobile app for Traders,ONEOP,Finance,9.3 MB,4.2,3T,500K+,3+
151,"SBI Quick (Samadhaan, Finder and Holiday Calendar)",State Bank of India,Finance,4.2 MB,3.8,45T,10M+,3+
152,FlexPay Instant Loan-Pay Later,Vivifi India Finance Pvt Ltd,Finance,27 MB,4.5,20T,1M+,3+
153,OmniCard – Cool Card for Young,Eroute Technologies Private Limited,Finance,18 MB,4.4,2T,100K+,3+
154,Income Planet,Safasha Business Solution's,Finance,8.8 MB,3.8,29,10K+,3+
155,EPF Balance Check Online,Hianic Soft Ltd,Finance,5.5 MB,3.5,7T,1M+,3+
156,Go Cash - Online Loan App,Overseas Pioneer,Finance,4.7 MB,4.4,22T,1M+,3+
157,Trust: Crypto & Bitcoin Wallet,DApps Platform Inc,Finance,17 MB,4.4,7L,10M+,3+
158,Investing.com: Stocks & News,INVESTING.com,Finance,43 MB,4.5,4L,10M+,3+
159,Sun Cash - Digital Loan App,playsuncash,Finance,15 MB,4.6,729,50K+,3+
160,Kotak Stock Trading App,Kotak Securities Limited,Finance,19 MB,4.3,13T,1M+,3+
161,Krazy Cash - Online Loan App,krazycashPro,Finance,15 MB,4.1,773,100K+,3+
162,MoneyTap - Credit Line & Loan,MoneyTap - A Freo Product,Finance,35 MB,4.2,3L,10M+,3+
163,OctaFX Copytrading,OctaFX,Finance,13 MB,4.0,33T,1M+,3+
164,LoanLoan,Ishihara Rimi,Finance,16 MB,4.2,2T,100K+,3+
165,Rupee Pro - Digital Loan App,gorupeepro,Finance,14 MB,4.6,1T,100K+,3+
166,Win Trade - Fast Trading App,Win Trade,Finance,9.1 MB,4.5,17T,1M+,3+
167,RupeeSpree,KIM INVESTMENT LIMITED,Finance,12 MB,3.8,250,50K+,3+
168,All Bank Passbook -  Mini Statement,Jay SatyaNarayana,Finance,4.5 MB,4.3,22T,5M+,3+
169,Loan Assist - Quick Bank Loans,HDFC Bank,Finance,64 MB,4.2,46T,5M+,3+
170,W Trade,w trade tech,Finance,3.0 MB,3.8,65,50K+,3+
171,Bank account balance check,Boom video chat,Finance,8.9 MB,3.9,793,100K+,3+
172,MyFIRST Partner - Refer & Earn,IDFC FIRST Bank Limited,Finance,11 MB,4.0,4T,500K+,3+
173,OK Rupee,Basant India Technology Private Ltd .,Finance,11 MB,4.0,1T,100K+,3+
174,Cent Mobile,CENTRAL BANK OF INDIA,Finance,33 MB,4.2,81T,5M+,3+
175,ePayLater - Get Instant credit,epaylater.in,Finance,17 MB,4.0,1T,100K+,3+
176,Cash Now -Only provide real cash loan products,CASHNOW TECH DEV,Finance,9.2 MB,4.8,910,100K+,3+
177,RiceVault,Achal Finance Ltd,Finance,12 MB,4.4,501,50K+,3+
178,Finpedia: Your Financial Dost,Finpedia.in,Finance,18 MB,4.3,8T,5M+,3+
179,FlexiLoan - personal loan app,DATTA FINANCE AND TRADING PRIVATE LIMITED,Finance,15 MB,4.2,2T,100K+,3+
180,Rapids Loan,RapidsLoan,Finance,15 MB,4.4,2T,100K+,3+
181,Agile Loan,IQQ Investments Private Limited,Finance,11 MB,4.6,419,10K+,18+
182,KreditMango Personal Loan App,BABA NANAK FINANCIAL SERVICES LIMITED,Finance,18 MB,4.3,2T,100K+,3+
183,RBL Bank MoBank Mobile Banking,RBL Bank Ltd.,Finance,34 MB,4.2,66T,1M+,3+
184,Instant Credit and Small Business Loan App: Rufilo,Rufilo,Finance,12 MB,4.5,2L,1M+,3+
185,ACKO Insurance,Acko Technology & Services Private Limited,Finance,18 MB,4.6,58T,1M+,3+
186,LoanLoji - Your Instant loan,LoanLoji,Finance,9.3 MB,4.3,14T,100K+,3+
187,RBL MyCard,RBL Bank Ltd.,Finance,30 MB,3.1,1L,1M+,3+
188,Rupee Paisa Loan App 2022,Gunguna Tech,Finance,5.7 MB,3.6,51,10K+,3+
189,Salary Cash - Digital Loan App,forsalarycash,Finance,14 MB,4.6,1T,100K+,3+
190,Loan Pay Online Loan App,Vikas private limited,Finance,7.7 MB,4.2,171,50K+,3+
191,Spice Money Adhikari - Start your Digital Dukaan,Spice Digital!,Finance,42 MB,4.4,98T,1M+,3+
192,12% Club: Invest or Borrow@12%,BharatPe,Finance,7.1 MB,4.1,7T,500K+,3+
193,Easy borrow- Cash Loan On Line,NIMISHA FINANCE INDIA PRIVATE LIMITED,Finance,14 MB,3.3,226,50K+,3+
194,Vauld - Buy Crypto With INR,Vauld,Finance,35 MB,3.8,7T,500K+,3+
195,Federal Bank - FedMobile,Federal Bank,Finance,67 MB,3.9,74T,5M+,3+
196,Payment App for Teens & Family,Fyp Money,Finance,34 MB,4.1,4T,500K+,3+
197,Money stand-credit loan,Althi Ramana,Finance,12 MB,3.1,836,100K+,3+
198,InstaMoney Personal Loan App,LenDenClub - Innofin Solutions Pvt. Ltd.,Finance,57 MB,3.7,61T,1M+,3+
199,Money Rabbit -Financial buddy,DFL Technologies Pvt. Ltd.,Finance,22 MB,3.1,416,100K+,3+
200,RoyalCash,FINCFRIENDS PRIVATE LIMITED,Finance,12 MB,4.1,101,10K+,18+
201,All Bank Balance,Car Info,Finance,6.5 MB,4.0,1T,500K+,3+
202,AU 0101 - Digital Banking,AU Small Finance Bank Limited,Finance,102 MB,4.5,20T,1M+,3+
203,Bitcoin Profit Way,Venerysta Fernadierr,Finance,3.2 MB,,,10K+,18+
204,Earn Wallet cash & Recharge,TaskBucks,Finance,20 MB,4.0,9L,10M+,3+
205,"Axis Mutual Fund: SIP, ELSS MF",Axis Mutual Fund,Finance,9.7 MB,4.6,12T,1M+,3+
206,threedots-Follow stock experts,threedots,Finance,33 MB,4.5,535,100K+,3+
207,"Cherry: MF, Stocks, NPS & more",Kotak Cherry - One stop shop for investments,Finance,37 MB,4.1,2T,500K+,3+
208,Cash Bar - Safe borrowing,Yogakshemam loans limited,Finance,15 MB,2.6,97,10K+,3+
209,India Post Mobile Banking,Department of Posts,Finance,2.1 MB,3.5,7T,1M+,3+
