Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
61,Idragon -Ultimate VOD Movies/Series APP in India.,Idragon,Entertainment,44 MB,3.6,21T,5M+,3+
62,"ZEPETO: 3D avatar, chat & meet",Naver Z Corporation,Entertainment,101 MB,4.2,14L,100M+,3+
63,Poly - Funny Social Chat,Hello Poly,Entertainment,26 MB,4.2,21T,1M+,18+
64,"Vi Movies & TV: News, Movies, Live TV, Shows Free",Vodafone Idea Limited.,Entertainment,34 MB,3.9,2L,10M+,12+
65,Tips For Grand City theft Autos GT Guide A 2021,Suhail Al Rahman,Entertainment,7.5 MB,4.0,1T,500K+,3+
66,VotTak,Om Newgen Technologies,Entertainment,54 MB,3.8,90T,10M+,16+
67,Viki: Asian Dramas & Movies,"Viki, Inc",Entertainment,10 MB,4.2,8L,10M+,12+
68,HappyBox: Play games Get Money,BuzzDeveloper,Entertainment,19 MB,4.2,2T,500K+,3+
69,Talking Ginger,Outfit7 Limited,Entertainment,51 MB,4.0,19L,100M+,3+
70,Projector Pro,Apeksha Bari,Entertainment,13 MB,2.5,12T,1M+,3+
71,HD Video Screen Mirroring,Legafly,Entertainment,9.2 MB,2.9,487,100K+,3+
72,TrueFan - Gift Birthday Wishes,"TrueFan, Hogwarts E-Learning Universe Pvt Ltd",Entertainment,14 MB,4.4,6T,1M+,3+
73,mCash: Daily Rewards,mCash Bitz,Entertainment,9.3 MB,4.4,40T,500K+,3+
74,MagicCall – Voice Changer App,BNG MOBILE,Entertainment,18 MB,3.5,52T,10M+,3+
75,dEarn : Do Fun for Rewards,Sk IT Solutions,Entertainment,20 MB,3.9,2T,50K+,3+
76,Addons for Minecraft,Kayen Works,Entertainment,10 MB,4.5,2L,10M+,12+
77,Piano Keyboard,Golden Creative Apps Studio,Entertainment,8.2 MB,3.9,35T,10M+,3+
78,Esports Gaming Logo Maker,ZipoApps,Entertainment,35 MB,4.5,52T,5M+,3+
79,"Mzaalo – Watch Free Movies, Web Series, TV Shows",Xfinite Ventures FZ LLC,Entertainment,20 MB,3.4,1T,1M+,3+
80,"Forceteller, Your Pocket-sized Fortune Teller",Team UN7QI3,Entertainment,13 MB,4.3,1T,500K+,3+
81,Ramee,Crazy Brant,Entertainment,24 MB,4.2,7T,1M+,18+
82,Talking Ginger 2,Outfit7 Limited,Entertainment,46 MB,4.0,8L,100M+,7+
83,Cake Maker Bakery Empire : Baking Games for Girls,Taprix,Entertainment,54 MB,3.9,1T,1M+,7+
84,"Lionsgate Play: Watch Movies, TV Shows, Web Series",Lionsgate Play LLP,Entertainment,34 MB,3.0,5T,1M+,12+
85,Max Diamond: Fire Elite Pass,Md Sanaullah Amir,Entertainment,17 MB,4.5,3T,500K+,3+
86,Earn Money Online 2021 - Spin and Win Cash,Super-Duper Developer,Entertainment,21 MB,4.1,19T,1M+,3+
87,"ALTBalaji-Comedy, Thriller, Drama & Romantic Shows",ALT Digital Media Entertainment Ltd,Entertainment,17 MB,3.1,3L,10M+,12+
88,Indian Girl Prank Video Call,KBT Developers,Entertainment,32 MB,3.8,175,50K+,18+
89,Cool CallScreen-Birthday Theme,Hendrickson,Entertainment,13 MB,3.6,22T,10M+,3+
