Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
63,Paise Kamane Wala Game,BC Tech Solution,Sports,12 MB,4.4,77,10T+,3+
64,Live Net Sports,Go Natupara,Sports,9.8 MB,2.9,1T,1L+,3+
65,Star Live Sports TV Cricket HD,Dream Eleven Hero,Sports,10 MB,3.3,369,1L+,3+
66,"Fitso:Badminton, Swimming, Gym",Fitso,Sports,9.1 MB,4.6,2T,1L+,3+
67,Live Cricket TV HD,My11 cric team,Sports,10 MB,3.3,49,10T+,3+
68,Sports Tak - get coverage of Sports leagues,TV Today Network,Sports,23 MB,4,3T,5L+,3+
69,Cargo Jeep Driving Offroad 4x4,Redstone Creatives,Sports,56 MB,3.5,674,1L+,3+
70,G Buddy STYLFIT,Gbuddy,Sports,7.4 MB,4.1,204,50T+,3+
71,PESHUB 21 Unofficial,Nova Software Studio,Sports,77 MB,4.3,6T,5L+,3+
72,Manchester United Official App,Manchester United Limited,Sports,30 MB,4.8,3L,50L+,3+
73,NoiseFit Track,Noise,Sports,7.6 MB,3.8,472,1L+,3+
74,Dream Guru™ - Dream11 Prediction & Tips,Kartik Tech,Sports,3.8 MB,4.3,6T,10L+,3+
75,Paise Jitne Wala Game,BC Tech Solution,Sports,12 MB,4.2,33,10T+,3+
76,Sport TV: Live Cricket - Shows,Chief Coder,Sports,15 MB,3.7,59,5T+,3+
77,"Live Cricket TV, HD Cricket TV",Jaym,Sports,12 MB,3.5,12,10T+,3+
78,BCCI,IN10 Media Private Limited,Sports,18 MB,4.3,6T,10L+,3+
79,SportEM - Stream  Live Sports,SportEM,Sports,15 MB,4.6,1T,10T+,3+
80,Diamond Cricket Bhaw Line,Varshal Gupta,Sports,4.9 MB,,,5T+,3+
81,Kabaddi Live Score -Live Match,Dev Media Apps,Sports,6.9 MB,2.5,18,10T+,3+
82,Fast Cricket Live Line,Fast Cricket Live Line,Sports,15 MB,4.4,134,10T+,3+
83,Parimatch лицензия,Mirakido Anime,Sports,19 MB,3.5,638,1L+,3+
84,Sarkar Cricket Live Line,Foxconn it,Sports,12 MB,4.4,49,5T+,3+
85,First Game,Gidiwebdesigners,Sports,7.5 MB,3.7,81,10T+,3+
86,HD Streamz - Cricket TV Info,VP Infotech,Sports,9.5 MB,3.6,4T,1L+,3+
87,CricRed - Cricket Live Score,Leafslice,Sports,13 MB,4.2,735,5L+,3+
88,Official Peshawar Zalmi PSL Live Cricket Streaming,"Rockville Technologies, Pvt. Ltd.",Sports,25 MB,4,44T,50L+,3+
89,Car Racing Games - Formula Car,Play 10,Sports,50 MB,4.2,2T,10L+,12+
90,Live Cricket TV - HD Match,Panda Rus,Sports,12 MB,3,31,10T+,3+
