Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
57,DD Free Dish,maxx,News & Magazines,6.5 MB,3.6,657,1L+,12+
58,नरेगा जॉब कार्ड Payment Details 2021 All India,Amandangi,News & Magazines,9.1 MB,4.1,315,1L+,3+
59,"ZEE 24 Ghanta: Bengali News, Latest Bangla News",ZEE MEDIA CORPORATION LTD,News & Magazines,9.5 MB,4.1,521,1L+,3+
60,BBC News,BBC Studios Limited,News & Magazines,23 MB,4.3,4L,1Cr+,3+
61,Reading Right,Reading Right,News & Magazines,13 MB,3.5,34,10T+,3+
62,DD News,DD News,News & Magazines,6.1 MB,4.2,18T,10L+,3+
63,Aaj Ki Taja Khabar: Daily Taza Hindi News Hunt,24 News Points,News & Magazines,4.8 MB,3.9,323,1L+,3+
64,Public App - पब्लिक एप,Support India Network,News & Magazines,6.7 MB,3.8,475,5L+,3+
65,"Lokmat – Latest News in Hindi, Marathi & English",Lokmat Media Pvt Ltd,News & Magazines,19 MB,3.8,12T,10L+,3+
66,E News Paper (All India) हिंदी समाचार पत्र,NK. Infotech,News & Magazines,18 MB,3.8,177,1L+,3+
67,News18 Latest & Breaking News,Network18,News & Magazines,16 MB,3.8,22T,50L+,3+
68,News 24 : Latest News In India,BAG Convergence Pvt. Ltd.,News & Magazines,19 MB,4.1,470,1L+,3+
69,"Opera News - Cricket, Latest & Local News, Videos",Opera,News & Magazines,17 MB,4,3L,10Cr+,12+
70,Telugu News App: Top Telugu News & Daily Astrology,Times Internet Limited,News & Magazines,14 MB,4.1,14T,10L+,3+
71,Dear Lottery Result,Tech Pathak,News & Magazines,8.3 MB,4,237,1L+,3+
72,"Zee Hindustan - Latest News Today, Live TV",ZEE MEDIA CORPORATION LTD,News & Magazines,11 MB,4.4,2T,5L+,3+
73,Government job - free job alert ( Sarkari exam ),All Government Jobs Alert,News & Magazines,4.8 MB,4.2,13T,10L+,3+
74,Aaro Ananda,ABP Pvt Ltd,News & Magazines,24 MB,4.3,510,50T+,18+
75,Aliens: NFT & Crypto Tracker,ALIENS,News & Magazines,5.3 MB,4.4,498,50T+,3+
76,Divya Marathi: Local News & Epaper,Dainik Bhaskar Group,News & Magazines,8.2 MB,4.2,939,1L+,3+
77,Flash News Malayalam,News Apps by TechKnol Developers,News & Magazines,4.6 MB,4,3T,10L+,3+
78,WION News - World News Live,ZEE MEDIA CORPORATION LTD,News & Magazines,16 MB,4.8,24T,5L+,3+
79,Marathi News Maharashtra Times,Times Internet Limited,News & Magazines,14 MB,3.8,52T,10L+,3+
80,Mintil Kerala Jobs - Malayalam Job Vacancy News,Mintil,News & Magazines,9.6 MB,3.8,697,1L+,3+
81,Daily Marathi News,News Apps by TechKnol Developers,News & Magazines,4.0 MB,4.1,1T,10L+,3+
82,PM Kisan Samman Nidhi Yojana,ARVIND CHOUDHARY,News & Magazines,7.6 MB,4,3T,5L+,3+
83,Hindi News Live | Hindi News Live TV | Hindi News,Kisan Samman Nidhi Yojna Apps,News & Magazines,8.3 MB,4.2,951,50T+,3+
84,Volume - Immersive Reading,Volume Stories Private Limited,News & Magazines,12 MB,4.7,370,10T+,12+
85,Daily Kannada News,News Apps by TechKnol Developers,News & Magazines,4.1 MB,4.2,1T,5L+,3+
86,Telugu News - Latest Telugu News,News Apps by TechKnol Developers,News & Magazines,4.7 MB,4,1T,5L+,3+
87,Prabhat Khabar,Readwhere.com,News & Magazines,25 MB,4,7T,10L+,3+
88,Sandesh Epaper,The Sandesh Ltd,News & Magazines,9.0 MB,4.1,9T,10L+,3+
89,Katha: Malayalam News & Audio,Katha - Malayalam Audio Information,News & Magazines,2.4 MB,4.6,543,10T+,3+
90,OTV-Odisha TV,Odisha Television Ltd.,News & Magazines,21 MB,4.1,6T,10L+,3+
91,Telugu Newspapers,S S Networks,News & Magazines,8.3 MB,3.9,5T,5L+,3+
92,Urdu Calendar 2022 Islamic,iTechApps Studio,News & Magazines,19 MB,4.4,5T,10L+,3+
93,Urdu News India,One News Media,News & Magazines,11 MB,4.3,435,10T+,3+
94,News 9,"Griffin Communications, L.L.C.",News & Magazines,14 MB,3.8,22T,50L+,3+
95,"India News, Latest News App, Live News Headlines",Times Internet Limited,News & Magazines,14 MB,3.9,1L,5Cr+,3+
96,Daily Tamil News,News Apps by TechKnol Developers,News & Magazines,4.6 MB,4.2,1T,5L+,3+
97,"India.com News: Top India News, Hindi News Live TV",ZEE ENTERTAINMENT,News & Magazines,27 MB,4.2,545,1L+,3+
98,TAK: Short Video News App - Current affairs,TV Today Network Limited,News & Magazines,22 MB,4.2,1T,10L+,18+
