Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
60,BabyCam - Baby Monitor Camera,Arjona Software,Parenting,9.7 MB,4.5,18T,10L+,3+
61,Waspon : Online tracker & Last seen,Flick Video Movie Maker,Parenting,3.0 MB,3,193,50T+,3+
62,Bedtime Stories for Kids Sleep,Stas Apps,Parenting,109 MB,4.4,1T,1L+,3+
63,Mom or Dad Face App - Baby looks like dad or mom?,LinaSoft,Parenting,19 MB,3.6,2T,1L+,3+
64,Baby Food: Healthy Recipes,H.D.M.,Parenting,12 MB,4.3,38,10T+,3+
65,Arabic Names: Muslim baby name,Abify Apps,Parenting,4.2 MB,4.1,887,50T+,3+
66,"Baby tracker - feeding, sleep and diaper",Amila,Parenting,6.2 MB,4.8,84T,10L+,3+
67,Zoo For Preschool Kids 3-9,BalinsWeb,Parenting,7.5 MB,4.2,1T,10L+,3+
68,Islamic Names Dictionary,Cutepad Studio,Parenting,5.2 MB,4.3,413,1L+,3+
69,FamilyAlbum - Easy Photo & Video Sharing,"mixi, Inc.",Parenting,48 MB,4.6,1L,50L+,3+
70,MamyPoko,Unicharm India Private Limited,Parenting,20 MB,2.9,417,5L+,3+
71,Alli 360,Kids360,Parenting,12 MB,1.5,1T,1L+,3+
72,Plastic Surgery Doctor Games,Taprix,Parenting,29 MB,3.3,530,1L+,12+
73,Pregnancy Tracker Week by Week,Wachanga,Parenting,32 MB,4.2,1L,10L+,3+
74,Pregnancy Day by Day,HokkabazSoft,Parenting,27 MB,4.6,3T,5L+,3+
75,"Family360 - Family Locator, GPS Tracker for Safety",Family360,Parenting,9.7 MB,4.3,1T,5L+,3+
76,"Growth Chart, Development Milestones & Vaccination",Growth Book,Parenting,14 MB,4.7,2T,1L+,3+
77,Kids Videos and Songs,"Kids Channel - Kids Rhymes, Nursery Videos & Songs",Parenting,12 MB,4,1T,5L+,3+
78,Kids Mode - Parental Control & Child lock,Innoxapps,Parenting,6.0 MB,3.6,646,1L+,3+
79,Baal Namavali,Rushabh Software Solution,Parenting,3.1 MB,3.7,381,1L+,3+
80,Parental Online Status Monitor - Last Seen Report,KONGRI LIMITED,Parenting,16 MB,4.2,2T,50T+,3+
81,"Indian Pregnancy Advice, Baby Care, Parenting Tips","Parentune - Parenting, Child care Growth Tracker",Parenting,14 MB,4.5,4T,10L+,12+
82,Parental Control - Screen Time & Location Tracker,Parental Control App by Screen Time Labs,Parenting,9.8 MB,3.4,50T,10L+,3+
83,Pregnancy app : weekly expectations,King Square Apps,Parenting,64 MB,3.9,131,50T+,3+
84,Parenting Guru - let's nurture values in kids,Team Majestic,Parenting,32 MB,4.5,98,10T+,3+
85,BabySleep: Whitenoise lullaby,Urbandroid (Petr Nálevka),Parenting,4.4 MB,4.3,70T,10L+,3+
86,My Baby Unicorn - Magical Unicorn Pet Care Games,Beansprites LLC,Parenting,49 MB,4.3,1T,10L+,3+
87,Loco Craft: 3 Creative Maps,A MINICRAFT GRAND CRAFTING,Parenting,44 MB,4.3,2T,10L+,12+
88,Baby + | Your Baby Tracker,Philips Digital UK Limited,Parenting,83 MB,4.7,52T,10L+,3+
89,AllTracker Family – Parental control,ragimov.software,Parenting,10 MB,3.9,568,50T+,3+
90,HaHa-Kids~Children’s Books，Bedtime Story，video,"Fuxi(Hong Kong)Trading Co., Limited",Parenting,14 MB,,,1T+,3+
91,DreamChild - Garbh Sanskar,Anantam Life Science,Parenting,18 MB,4.4,874,1L+,3+
92,Unicorn Pet Dentist Teeth Game,Creative Bee,Parenting,49 MB,2.9,165,1L+,7+
93,"GLOW. Baby Tracker & Feeding, Diaper, Sleep Log",Glow Inc,Parenting,28 MB,4.5,12T,5L+,3+
94,Baby Food Chart,Definicija hrane,Parenting,46 MB,3.6,322,1L+,3+
95,बाळांची नावे  Baby Name,TUSHAR SHELAR,Parenting,6.2 MB,3.9,7,5T+,3+
96,Funny Dolls Toys House Videos,Funny Star,Parenting,11 MB,,,1T+,3+
97,Baby Language,Enbyin,Parenting,19 MB,3.6,1T,1L+,3+
98,Baby Rattle - Giggles & Lullaby Sounds for infants,Bebi Family: preschool learning games for kids,Parenting,47 MB,4.6,282,50T+,3+
99,Eden Baby - Boy or Girl?,DTCreation,Parenting,11 MB,5,32,10T+,12+
