Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
59,"Running App: Run Tracker with GPS, Map My Running",Leap Fitness Group,Health & Fitness,12 MB,4.8,1L,1Cr+,3+
60,Niva Bupa Health,Niva Bupa Health Insurance,Health & Fitness,47 MB,3.8,6T,1L+,3+
61,Cycle Burning Fitness: 7 Days,Günther Schmitz,Health & Fitness,22 MB,3.1,33,50T+,3+
62,"Sadhguru - Yoga, Meditation & Spirituality",Isha Foundation,Health & Fitness,28 MB,4.7,61T,10L+,3+
63,Giant Stopwatch,Omega Centauri Software,Health & Fitness,139 kB,4.2,1T,10L+,3+
64,Sanjivan,"State Health Society, Bihar",Health & Fitness,7.1 MB,4.1,1T,5L+,3+
65,Tawakkalna (Covid-19 KSA),National Information Center,Health & Fitness,63 MB,4.4,6L,1Cr+,3+
66,boAt Crest,COVE,Health & Fitness,36 MB,2.6,674,50T+,3+
67,Pro Gym Workout (Gym Workouts & Fitness),FitCraft Technologies,Health & Fitness,44 MB,4.4,68T,50L+,3+
68,iMumz - The Complete App for Pregnancy & Parenting,Pruoo,Health & Fitness,48 MB,4.7,1T,1L+,3+
69,MyFitnessPal - Calorie Counter,"MyFitnessPal, Inc.",Health & Fitness,37 MB,4.2,24L,5Cr+,3+
70,Fight Covid,Pratik Babasaheb Thorat,Health & Fitness,2.4 MB,3.8,786,5L+,3+
71,FitCoach: Fitness Coach & Diet,Mobilious Limited,Health & Fitness,31 MB,3.2,50T,1Cr+,3+
72,Pedometer Step Counter Calorie,King Brain Inc.,Health & Fitness,7.2 MB,4.6,32T,50L+,3+
73,Sexy Massage Videos,Useable app devs,Health & Fitness,14 MB,3.6,240,50T+,3+
74,Yoga for Weight Loss-Yoga Daily Workout,Nexoft - Fitness Apps,Health & Fitness,17 MB,4.8,75T,10L+,3+
75,Splits Training in 30 Days,Leap Fitness Group,Health & Fitness,13 MB,4.8,2L,1Cr+,3+
76,Atom: Build a Habit of Meditation (For Beginners),Atom - Being Present,Health & Fitness,16 MB,4.9,23T,5L+,3+
77,CrelioHealth (formerly known as LiveHealth),LiveHealth,Health & Fitness,33 MB,2.2,2T,1L+,3+
78,Huawei Health,Huawei Internet  Service,Health & Fitness,68 MB,3.8,6L,10Cr+,3+
79,"Yoga for Weight Loss, Yoga App",Leap Fitness Group,Health & Fitness,15 MB,4.8,42T,10L+,3+
80,COVID-19 Andhra Pradesh,Entro Labs,Health & Fitness,38 MB,3.9,4T,5L+,3+
81,"Mind&Mom: Pregnancy Tracking App, Guide, Diet Plan","Developer, Mind and Mom",Health & Fitness,34 MB,4,106,50T+,3+
82,Blood Pressure App,QR Code Scanner.,Health & Fitness,6.1 MB,4.4,4T,5L+,3+
83,Blue Light Filter - Night Mode,Leap Fitness Group,Health & Fitness,8.0 MB,4.5,3L,1Cr+,3+
84,Short Gamer - Play Games & Win Coins,GAURI Bisht,Health & Fitness,16 MB,3.8,7T,1L+,12+
85,Fastrack Reflex,Titan India,Health & Fitness,30 MB,3.8,34T,10L+,3+
86,Weight loss app - home workout and meal plan,Fashion and Moda,Health & Fitness,24 MB,3.8,2T,1L+,12+
87,Xiaomi Wear,"Beijing Xiaomi Mobile Software Co.,Ltd",Health & Fitness,98 MB,3.9,1L,50L+,3+
88,Running Distance Tracker +,Fitness22,Health & Fitness,42 MB,4.4,1L,50L+,3+
89,Pedometer - Step Counter & Calorie Burner,Simple Design Ltd.,Health & Fitness,11 MB,4.8,6L,1Cr+,3+
90,FITTR: Fitness & Weight Loss,Fittr,Health & Fitness,34 MB,4.3,18T,10L+,12+
91,[Escaping Porn] Porn Addiction hub : Guide listen,All Media Hub Apps,Health & Fitness,5.4 MB,3.7,19T,10L+,12+
92,Fitbit,"Fitbit, Inc.",Health & Fitness,74 MB,3.7,8L,5Cr+,3+
93,Fabulous Daily Routine Planner,TheFabulous,Health & Fitness,63 MB,4.4,4L,1Cr+,3+
94,Pacer Pedometer:Walking Step & Calorie Tracker App,Pacer Health,Health & Fitness,35 MB,4.7,8L,1Cr+,3+
95,Ovulation & Period Tracker,Leap Fitness Group,Health & Fitness,15 MB,4.8,3L,1Cr+,3+
96,ThatMate - Wellness For Teens,ThatMate,Health & Fitness,14 MB,4.1,92,10T+,3+
97,M2wear,"Shenzhen United Power Technology Co., Ltd.",Health & Fitness,48 MB,4.1,2T,5L+,3+
98,Jumping Minds - Feel Better,Jumping Minds,Health & Fitness,16 MB,4.5,683,50T+,12+
99,Yoga for Kids and Family fitness,GunjanApps Studios,Health & Fitness,8.0 MB,4.5,51T,50L+,3+
100,Sehhaty | صحتي,Lean business services,Health & Fitness,40 MB,4.1,2L,1Cr+,3+
101,Face Yoga Exercises,Nexoft - Fitness Apps,Health & Fitness,17 MB,4.7,34T,10L+,3+
102,"StepCoin - Walk and Earn, Fitness & Step Tracker",Fithub Private Limited,Health & Fitness,11 MB,4.8,28T,1L+,3+
103,Pedometer - Step Counter,WorkerBee App,Health & Fitness,21 MB,4.3,28,5T+,3+
104,"Calm - Meditate, Sleep, Relax","Calm.com, Inc.",Health & Fitness,34 MB,4.2,4L,1Cr+,3+
105,Workout for Women: Fit at Home,Crysta Bir,Health & Fitness,20 MB,4.6,6T,10L+,3+
106,Shlonik - شلونك,Kuwait Central Agency for Information Technology,Health & Fitness,34 MB,4.3,3T,10L+,3+
107,EHTERAZ,Ministry Of Interior - Qatar,Health & Fitness,35 MB,4.1,56T,10L+,3+
108,COVA Punjab,Government of Punjab,Health & Fitness,8.1 MB,3.8,37T,10L+,3+
109,Instant Heart Rate: HR Monitor & Pulse Checker,Azumio Inc.,Health & Fitness,68 MB,3.6,3L,1Cr+,3+
110,Fastrack Reflex World,Titan India,Health & Fitness,11 MB,4.5,1T,1L+,3+
111,ZEB-FIT 20 Series,Zebronics India Pvt. Ltd.,Health & Fitness,8.4 MB,3.7,1T,1L+,3+
112,Home Workout for Women,Leap Fitness Group,Health & Fitness,18 MB,4.9,1L,50L+,3+
113,Vibrator: Strong Vibration App,Easy Health,Health & Fitness,8.9 MB,4.5,7T,10L+,3+
114,Water Reminder - Daily Tracker,VGFIT LLC,Health & Fitness,28 MB,4.2,2T,1L+,3+
115,FireBoltt Invincible,FireBoltt,Health & Fitness,45 MB,3.2,17,5T+,3+
116,FitHer: Workout for women,Taskoob Inc.,Health & Fitness,89 MB,3.7,1T,1L+,3+
117,ABMMJAY JHARKHAND,MDIndia Healthcare Services (TPA) Pvt. Ltd.,Health & Fitness,13 MB,4,63,10T+,3+
118,QuitSure: Quit Smoking Smartly,QuitSure,Health & Fitness,33 MB,4.1,2T,1L+,3+
119,Abs Workout - 30 Day Ab Challenge,Simple Design Ltd.,Health & Fitness,6.3 MB,4.5,6T,10L+,3+
120,Stretch Exercise - Flexibility,Leap Fitness Group,Health & Fitness,15 MB,4.7,87T,1Cr+,3+
121,Heart Rate Monitor,REPS,Health & Fitness,5.6 MB,3.9,57T,50L+,16+
122,Home Workout for Men - Bodybuilding,Easy Health,Health & Fitness,10 MB,4.6,72T,1Cr+,3+
123,SeHAT OPD,"Health Informatics Group, C-DAC Mohali, INDIA",Health & Fitness,7.2 MB,3.9,16,10T+,3+
124,"SmartDiet Planner - Indian Diet Plan, Weight loss",Appneurons Technologies,Health & Fitness,61 MB,4.2,1T,1L+,3+
125,Yoho Sports,mCube Inc.,Health & Fitness,13 MB,3.9,95T,1Cr+,3+
126,ANM AP HEALTH,Entro Labs,Health & Fitness,4.9 MB,3.6,3T,1L+,3+
127,Fitness & Bodybuilding,VGFIT LLC,Health & Fitness,58 MB,4.8,1L,1Cr+,3+
128,"Yoga for Weight Loss, Exercise",OHealthApps Studio,Health & Fitness,16 MB,4.4,6T,10L+,3+
