Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
119,All-in-1 Online Shopping App,MS STUDIOS,Shopping,13 MB,4.2,630,5L+,3+
120,PAYBACK: Shopping Rewards App,PAYBACK India,Shopping,15 MB,3.7,48T,50L+,3+
121,NNNOW Online Shopping App,Arvind Internet,Shopping,6.4 MB,4.2,6T,10L+,3+
122,WoodenTwist - Furniture Store,WoodenTwist,Shopping,29 MB,3.9,291,1L+,3+
123,Amazing Shop online shopping,Amazing Shop Shopping app,Shopping,3.7 MB,3.8,57,10T+,3+
124,V-Mart Retail,VMart Retail,Shopping,16 MB,3.2,7T,10L+,3+
125,FTH Daily,FreshToHome,Shopping,20 MB,4.5,9T,5L+,3+
126,"eBay: Buy, Sell & Save Today!",eBay Mobile,Shopping,44 MB,3.7,41L,10Cr+,12+
127,CLUB FACTORY : Online Shopping,CF India,Shopping,9.8 MB,3.6,4T,10L+,12+
128,VLE-CSC Grameen eStore,CSC e-Governance Services India Limited,Shopping,13 MB,4.2,3T,1L+,3+
129,Bisleri at Doorstep,Bisleri,Shopping,21 MB,3,190,1L+,3+
130,"Sezzle - Buy Now, Pay Later",Sezzle,Shopping,31 MB,4.3,30T,10L+,3+
131,"Win Diamonds, Game Credits, Gift Cards & Cashback",Granny Rewards,Shopping,8.9 MB,4,10T,10L+,3+
132,Easyday (Available in selected cities in India),Future Group Food,Shopping,12 MB,3.4,6T,10L+,3+
133,BUYZOP: Online Shopping App,"ek Startup, India ke liye!",Shopping,17 MB,1.9,877,10T+,3+
134,Deep Rooted,Clover Ventures Pvt Ltd,Shopping,16 MB,4.5,1T,1L+,3+
135,"Vishal Mega Mart-Noida,GGN,MRT",VISHAL MEGA MART PRIVATE LIMITED,Shopping,8.6 MB,2.8,377,1L+,3+
136,HappyCredit : India's fastest cashback rewards app,Instant Cashback App : HappyCredit,Shopping,17 MB,4.5,3T,1L+,3+
137,Shell Asia,Shell Information Technology International B.V.,Shopping,6.9 MB,4.5,3T,10L+,3+
138,Spencer's - Online Grocery Shopping App,Omnipresent Retail India Private Limited,Shopping,19 MB,3.6,31T,10L+,3+
139,"WINDS: Rewards, Shopping, Bills, Recharges, Offers",WINDS E WORLD,Shopping,29 MB,4.2,3T,1L+,3+
140,Indya - Indian Wear Online Shopping App for Women,FabAlley,Shopping,12 MB,4.4,3T,5L+,3+
141,SPAR India – Online Grocery Shopping and More,SPAR INDIA,Shopping,9.8 MB,3.1,5T,5L+,3+
142,Pankhuri - Women's Community,Pankhuri,Shopping,62 MB,4.5,4T,1L+,3+
143,1 Hour Bazaar :Online Grocery,VOICEGEAR NETWORK TECHNOLOGIES PRIVATE LIMITED,Shopping,7.2 MB,3.9,335,10T+,3+
144,Barcode Scanner,ZXing Team,Shopping,612 kB,3.5,6L,10Cr+,3+
145,EarnKaro #KamaiPakkiHai,CashKaro,Shopping,13 MB,4.1,14T,10L+,3+
146,Berrylush: Online Shopping App,Berrylush Designs Pvt Ltd,Shopping,28 MB,4.4,144,50T+,3+
147,LetyShops cashback service,LetyShops,Shopping,20 MB,3.4,83T,1Cr+,12+
148,FabAlley -Women Fashion Online Shopping,FabAlley,Shopping,13 MB,4.3,5T,10L+,3+
149,MyKirana– Buy Groceries Online,MyKirana by HUL,Shopping,18 MB,4.7,42T,10L+,3+
150,Peter England Online Shopping,ADITYA BIRLA FASHION AND RETAIL LIMITED,Shopping,23 MB,4.5,765,1L+,3+
151,SiriusJewels & Lifestyles,SiriusJewels and Lifestyles Pvt. Ltd.,Shopping,11 MB,4.7,41,10T+,3+
152,Moglix - Online Industrial & Business Shopping,Mogli Labs India Pvt. Ltd.,Shopping,18 MB,3.7,7T,5L+,3+
153,Weverse Shop,WEVERSE COMPANY Inc.,Shopping,5.7 MB,4,37T,10L+,3+
154,Street Style Store,StreetStyleStore,Shopping,347 kB,2.7,1T,5L+,3+
155,KisanKonnect Safeplace For Fresh Fruits & Veggies,KisanKonnect,Shopping,32 MB,4,3T,5L+,3+
156,Ketch,GetKetch,Shopping,8.7 MB,3,652,1L+,3+
157,Gift Mill : UC & Diamonds,Gift Mill,Shopping,19 MB,4.7,24T,1L+,3+
158,Oriflame,Oriflame,Shopping,78 MB,4.1,77T,1Cr+,3+
